CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
Accruent, LLC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
Accurate Background;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
ACCURATE INFORMATION SYSTEMS, LLC;Swiss-U.S. Privacy Shield Framework;2017-05-23;2017-09-15;HR, NON-HR
ACCURATE INFORMATION SYSTEMS, LLC;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;HR, NON-HR
ACE Software Solutions;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Achievers;EU-U.S. Privacy Shield Framework;2017-02-27;2018-02-27;NON-HR
ACI Worldwide;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;HR, NON-HR
Acquia Inc.;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;NON-HR
Act-On Software;EU-U.S. Privacy Shield Framework;2016-09-20;2017-09-20;NON-HR
Action Verb LLC;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
ActionIQ, Inc.;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;NON-HR
Active Internet Technologies, LLC (DBA Finalsite);EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;NON-HR
Active Media Services, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Active Network, LLC;EU-U.S. Privacy Shield Framework;2017-02-06;2018-02-06;HR, NON-HR
ActiveCampaign, Inc.;EU-U.S. Privacy Shield Framework;2016-09-19;2017-09-19;NON-HR
ACTON International, Ltd;Swiss-U.S. Privacy Shield Framework;2017-05-15;2017-11-23;NON-HR
ACTON International, Ltd;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
acturus;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Acumen Solutions;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;HR, NON-HR
Acupay System LLC;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;HR, NON-HR
Acurian;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Acxiom Corporation;EU-U.S. Privacy Shield Framework;2016-12-12;2017-12-12;HR, NON-HR
Adaptive Insights;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
ADARA, Inc.;EU-U.S. Privacy Shield Framework;2016-10-26;2017-10-26;NON-HR
Adelphi Communications;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;HR, NON-HR
Adelphi Research;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;HR, NON-HR
Adelphi Values;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;HR, NON-HR
Adelphic, Inc.;EU-U.S. Privacy Shield Framework;2016-09-19;2017-09-19;NON-HR
Adicio, Inc.;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Adobe Systems Incorporated;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Advanced Brain Monitoring Inc;Swiss-U.S. Privacy Shield Framework;2017-05-01;2017-11-03;NON-HR
Advanced Brain Monitoring Inc;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
Advanced Discovery Inc.;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;NON-HR
Advanced Health Media, LLC;EU-U.S. Privacy Shield Framework;2017-02-15;2018-02-15;NON-HR
Advanced Partnerships LLC;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Advanced Partnerships LLC;Swiss-U.S. Privacy Shield Framework;2017-05-30;2017-08-12;NON-HR
Advanced Personnel Systems Inc;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;NON-HR
Advantage Opco, LLC d/b/a Advantage Rent A Car;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Advicent Solutions, LP;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;NON-HR
AECOM;EU-U.S. Privacy Shield Framework;2017-03-02;2018-03-02;HR, NON-HR
Aegion Corporation;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;HR, NON-HR
Affectiva;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Afiniti;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
After, Inc.;EU-U.S. Privacy Shield Framework;2016-09-23;2017-09-23;NON-HR
Afton Chemical Corporation;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR, NON-HR
AGCO Corporation;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
AgeCheq, Inc. d/b/a PrivacyCheq;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Agent.ai;EU-U.S. Privacy Shield Framework;2017-05-09;2018-05-09;NON-HR
Aha! Labs Inc;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
AiCure;EU-U.S. Privacy Shield Framework;2016-08-17;2017-08-17;NON-HR
AIR Worldwide Corporation;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;HR, NON-HR
Airbiquity Inc.;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
Airbnb, Inc.;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
AIReS;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Airpush, Inc.;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;NON-HR
Akamai Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Alanda LLC;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-11-09;NON-HR
Alanda LLC;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Alarm.com Incorporated (“Alarm.com”);EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;NON-HR
Alchemy Systems;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;NON-HR
Alcoa Corporation;EU-U.S. Privacy Shield Framework;2017-01-10;2018-01-10;HR, NON-HR
Alert Media, Inc.;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;NON-HR
AlienVault;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Alimera Sciences;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;HR, NON-HR
Alipes CME, Inc.;EU-U.S. Privacy Shield Framework;2016-09-07;2018-05-04;NON-HR
AlixPartners, LLP;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;HR, NON-HR
Allegis Group, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-10;2017-10-04;HR, NON-HR
Allegis Group, Inc.;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;HR, NON-HR
Allen, Maxwell & Silver, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
ALLENDEVAUX & COMPANY LLC;EU-U.S. Privacy Shield Framework;2017-04-04;2018-04-04;HR, NON-HR
Allergan plc;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;HR, NON-HR
Alliance DNA Laboratory;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;NON-HR
ALOM;EU-U.S. Privacy Shield Framework;2016-09-12;2017-09-12;NON-HR
Alooma Inc;Swiss-U.S. Privacy Shield Framework;2017-05-26;2018-02-15;NON-HR
Alooma Inc;EU-U.S. Privacy Shield Framework;2017-02-15;2018-02-15;NON-HR
AlphaImpactRx;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;NON-HR
Alpine Access, Inc.;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Alpine Testing Solutions;EU-U.S. Privacy Shield Framework;2017-03-23;2018-03-23;NON-HR
Alta Resources;EU-U.S. Privacy Shield Framework;2017-01-09;2018-01-09;NON-HR
Altair Engineering, Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;HR, NON-HR
Altep, Inc.;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
Altum, Inc.;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Amadeus Hospitality Americas, Inc.;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
Amazon.com, Inc.;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Amber Road;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;HR, NON-HR
Ambra Health;EU-U.S. Privacy Shield Framework;2016-10-12;2018-05-08;NON-HR
American Benefits Consulting, LLC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;HR, NON-HR
American DataBank LLC;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;NON-HR
American Escrow and Closing;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;HR, NON-HR
American Greetings Corporation;EU-U.S. Privacy Shield Framework;2017-05-23;2018-05-23;NON-HR
Amerisearch Background Alliance;Swiss-U.S. Privacy Shield Framework;2017-05-19;2017-12-08;HR, NON-HR
Amerisearch Background Alliance;EU-U.S. Privacy Shield Framework;2016-12-08;2017-12-08;HR, NON-HR
Amperity.com;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;NON-HR
Amplifinity;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;HR
Amplify Snack Brands, Inc.;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;HR, NON-HR
Amy Herzog Designs;EU-U.S. Privacy Shield Framework;2017-05-10;2018-05-10;NON-HR
Anasight, Inc.;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;NON-HR
ANCILE Solutions, Inc.;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;HR, NON-HR
Anki, Inc;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;NON-HR
Annik Inc;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Anritsu Company;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
AP Wireless Infrastructure Partners, LLC;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
APCO Worldwide Inc.;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;HR
Aperian Global, Inc.;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;NON-HR
Aperio CI;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
APEX Analytix, LLC;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;HR, NON-HR
Apifia, Inc. dba Mavrck;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;NON-HR
Apmetrix, Inc.;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;NON-HR
Apollo Digital Ads;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Apollo Education Group, Inc., Apollo Global, Inc. and their affiliates;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;HR, NON-HR
App Annie;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Appextremes, LLC, dba Conga;EU-U.S. Privacy Shield Framework;2016-08-29;2017-08-29;HR, NON-HR
Appian Corporation;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
Applause App Quality, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-16;2018-01-18;NON-HR
Applause App Quality, Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
Applicable Technology Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Applications International Corporation;EU-U.S. Privacy Shield Framework;2016-09-27;2018-05-08;HR, NON-HR
AppLovin Corp.;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
AppNexus;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Appsembler;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
AppsFlyer Inc;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
Apptentive, Inc.;EU-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;NON-HR
Apptentive, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-26;2018-05-16;NON-HR
Appthority;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;HR, NON-HR
Apptio, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Apptix, Inc.;EU-U.S. Privacy Shield Framework;2016-09-07;2017-09-07;NON-HR
AppVault, LLC;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
APTARE, Inc;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;NON-HR
Aptible, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Aquent LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
AR RF/Microwave Instrumentation;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;NON-HR
ArbiterSports LLC;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Arconic Inc.;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;HR, NON-HR
AreaMetrics;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
Arena Solutions, Inc.;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
Argus Information & Advisory Services LLC;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;HR, NON-HR
Aria Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
Aries Systems Corporation;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;NON-HR
ARISTOTLE INTERNATIONAL, INC.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
arivis, Inc.;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
Armor Defense Inc.;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;NON-HR
Arrayent Inc;EU-U.S. Privacy Shield Framework;2016-09-29;2017-09-29;HR, NON-HR
Arrow Electronics, Inc.;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;HR, NON-HR
Art.sy, Inc.;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Arthrex, Inc.;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;HR, NON-HR
Articulate Global, Inc.;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Asana, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-10-13;NON-HR
Asana, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
ASC Services, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-24;2018-03-21;HR, NON-HR
ASC Services, LLC;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;HR, NON-HR
AscendantFX Capital USA, Inc.;EU-U.S. Privacy Shield Framework;2017-02-27;2018-02-27;NON-HR
Ascendify;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;HR
Asendia USA;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Asentinel;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;NON-HR
ASG Technologies Group, Inc.;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Ashfield Healthcare Communications, LLC;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR, NON-HR
Ashfield Healthcare, LLC;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Ashfield Meetings & Events, Inc.;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Ashfield Pharmacovigilance, Inc.;EU-U.S. Privacy Shield Framework;2017-02-17;2018-02-17;HR, NON-HR
ASPEN Grove Solutions;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;HR, NON-HR
Assessment+;Swiss-U.S. Privacy Shield Framework;2017-05-16;2018-01-09;NON-HR
Assessment+;EU-U.S. Privacy Shield Framework;2017-01-09;2018-01-09;NON-HR
Assessments 24x7 LLC;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Assessments 24x7 LLC;Swiss-U.S. Privacy Shield Framework;2017-05-12;2017-08-12;NON-HR
AssureSign, LLC;EU-U.S. Privacy Shield Framework;2016-08-15;2017-08-15;HR, NON-HR
AssureSign, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-12;2018-04-12;HR, NON-HR
Astute Solutions;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-09-30;NON-HR
Astute Solutions;EU-U.S. Privacy Shield Framework;2016-09-30;2017-09-30;NON-HR
Atlassian PTY Ltd;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;HR, NON-HR
ATPI;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;NON-HR
Audience Science, Inc;Swiss-U.S. Privacy Shield Framework;2017-04-27;2017-10-20;NON-HR
Audience Science, Inc;EU-U.S. Privacy Shield Framework;2016-09-26;2017-10-20;NON-HR
AudiencePoint, Inc;EU-U.S. Privacy Shield Framework;2016-09-20;2017-09-20;NON-HR
Aurea Software, Inc.;EU-U.S. Privacy Shield Framework;2017-02-14;2018-02-14;NON-HR
Aurico Reports, LLC;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;NON-HR
Auth0 Inc.;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
Autodesk, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
Automated Insights, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-19;2018-05-19;NON-HR
Automated Insights, Inc.;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Automattic Inc.;EU-U.S. Privacy Shield Framework;2017-05-12;2018-05-12;NON-HR
Automattic Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-12;2018-05-12;NON-HR
Avalution Consulting LLC;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
AVANGATE;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;HR, NON-HR
Avantor Performance Materials, Inc.;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Avature Limited;EU-U.S. Privacy Shield Framework;2017-01-26;2018-01-26;HR, NON-HR
Avention, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
AvePoint, Inc.;EU-U.S. Privacy Shield Framework;2016-12-22;2017-12-22;HR, NON-HR
Avetta, LLC;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
Aviata Inc;EU-U.S. Privacy Shield Framework;2017-03-03;2018-03-03;NON-HR
Avon Products, Inc.;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;HR, NON-HR
AWeber Systems, Inc;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
AWP USA Inc. (and subsidiaries);EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Axialent USA LLC;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Axiom Global Inc;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR
AXS;EU-U.S. Privacy Shield Framework;2017-03-30;2018-03-30;HR, NON-HR
Ayasdi, Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;HR, NON-HR
B&H Photo Video;Swiss-U.S. Privacy Shield Framework;2017-05-30;2017-11-09;NON-HR
B&H Photo Video;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Babcock & Wilcox Enterprises Inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR, NON-HR
Backgrounds Online;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Backstop Solutions Group, LLC;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Badger Meter, Inc.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;NON-HR
BAE Systems Applied Intelligence US Corp.;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;NON-HR
Baker Tilly Virchow Krause, LLP;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Balboa Travel;Swiss-U.S. Privacy Shield Framework;2017-05-02;2017-08-31;NON-HR
Balboa Travel;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
Ball Corporation;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;HR, NON-HR
Bamboo HR LLC;EU-U.S. Privacy Shield Framework;2016-10-27;2017-10-27;HR, NON-HR
Bancroft Technology Group Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Barnes Group Inc.;EU-U.S. Privacy Shield Framework;2017-01-06;2018-01-06;HR, NON-HR
Barrett Values Centre LLC;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
barrington medical recycling llc;EU-U.S. Privacy Shield Framework;2017-05-11;2018-05-11;NON-HR
barrington medical recycling llc;Swiss-U.S. Privacy Shield Framework;2017-05-11;2018-05-11;NON-HR
Basecamp, LLC.;EU-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;NON-HR
BaseHealth, Inc;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
BASi;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
Bauer Xcel Media;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Baxter International Inc.;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;HR, NON-HR
Bazaarvoice, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;NON-HR
BBDO Worldwide Inc.;EU-U.S. Privacy Shield Framework;2017-01-09;2018-01-09;HR, NON-HR
BCMS Corporate LLC;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;NON-HR
BeaconsInSpace, Inc;EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;NON-HR
Beamery;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
Beatty Group;EU-U.S. Privacy Shield Framework;2017-02-14;2018-02-14;NON-HR
Beaver-Visitec International Holdings, Inc.;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;HR, NON-HR
Bedrock Data, Inc.;EU-U.S. Privacy Shield Framework;2017-04-26;2018-04-26;NON-HR
BeeswaxIO Corporation;Swiss-U.S. Privacy Shield Framework;2017-05-12;2017-12-02;NON-HR
BeeswaxIO Corporation;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;NON-HR
Belden Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;HR, NON-HR
Benchmark Internet Group;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR
BenchPrep;EU-U.S. Privacy Shield Framework;2017-02-17;2018-02-17;NON-HR
Benefit Plan Services LLC;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Bentley Systems, Incorporated;EU-U.S. Privacy Shield Framework;2017-03-02;2018-03-02;NON-HR
beqom;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
Berlitz Languages, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-12-29;HR, NON-HR
Berlitz Languages, Inc.;EU-U.S. Privacy Shield Framework;2016-11-10;2017-12-29;HR, NON-HR
Berry Appleman & Leiden LLP;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Best Western International, Inc.;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
Bettercloud Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
BetterWorks Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;HR, NON-HR
Big Fish Games, Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
Big Health;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;NON-HR
BigCommerce;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;NON-HR
Bigger Benefits, LLC;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;HR, NON-HR
BigPulse, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Bio-Optronics, Inc.;EU-U.S. Privacy Shield Framework;2017-03-02;2018-03-02;HR, NON-HR
Bioclinica, Inc.;EU-U.S. Privacy Shield Framework;2017-01-24;2018-01-24;HR, NON-HR
BioFortis, Inc.;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;NON-HR
Biomedical Systems, Inc.;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;HR, NON-HR
BioPet Vet Lab DBA BioPet Laboratories;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
